ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
018248	002	AP	1	1
018251	001	AP	1	1
018254	001	AP	1	1
018261	001	AP	1	1
018261	002	AP	1	1
018264	001	AP	1	1
018276	001	AB	1	1
018276	002	AB	1	1
018276	003	AB	1	1
018276	004	AB	1	1
018279	001	BC	1	1
018279	002	BC	1	1
018279	003	BC	1	1
018281	001	AB	1	1
018299	001	AT	1	1
018303	001	AB	1	1
018303	002	AB	1	1
018304	001	AP	1	1
018304	002	AP	1	1
018304	003	AP	1	1
018304	004	AP	1	1
018304	005	AP	1	1
018313	001	AT	1	1
018314	001	AT	1	1
018315	001	AT	1	1
018333	001	AB	1	1
018336	001	AT	1	1
018362	002	AP	1	1
018362	003	AP	1	1
018362	004	AP	1	1
018362	005	AP	1	1
018362	006	AP	1	1
018362	007	AP	1	1
018362	008	AP	1	1
018362	009	AP	1	1
018362	010	AP	1	1
018371	003	AP	1	1
018401	001	AP	1	1
018405	001	AB	1	1
018410	001	TBD	1	1
018413	001	AB	1	1
018413	002	AB	1	1
018421	001	AA	1	1
018422	003	AB	1	1
018449	001	AP	1	1
018461	002	AP	1	1
018461	003	AP	1	1
018461	004	AP	1	1
018469	001	AT	1	1
018482	001	AB	1	1
018484	001	AP	1	1
018487	001	AB	1	1
018487	002	AB	1	1
018494	001	AT	1	1
018495	001	AT	1	1
018508	001	AT	1	1
018511	001	AP	1	1
018514	001	AB1	1	1
018523	001	AT	1	1
018553	001	AB	1	1
018553	002	AB	1	1
018553	003	AB	1	1
018553	004	AB	1	1
018558	001	AB	1	1
018561	001	AP	1	1
018562	001	AP	1	1
018563	001	AP	1	1
018564	001	AP	1	1
018565	001	AP	1	1
018565	002	AP	1	1
018569	001	AB	1	1
018569	002	AB	1	1
018569	005	AB	1	1
018578	001	AB	1	1
018578	003	BX	1	1
018602	001	AB	1	1
018602	002	AB	1	1
018602	003	AB	1	1
018602	004	AB	1	1
018604	001	AB	1	1
018608	001	AT	1	1
018609	001	AP	1	1
018609	002	AP	1	1
018613	001	AT	1	1
018615	001	AB	1	1
018629	001	AP	1	1
018629	002	AP	1	1
018629	003	AP	1	1
018629	004	AP	1	1
018629	005	AP	1	1
018629	006	AP	1	1
018629	007	AP	1	1
018629	008	AP	1	1
018632	001	AP	1	1
018632	002	AP	1	1
018642	001	AB	1	1
018644	002	AB	1	1
018644	003	AB	1	1
018647	001	AB	1	1
018647	002	AB	1	1
018651	001	AB	1	1
018651	002	AB	1	1
018651	003	AB	1	1
018652	001	AB	1	1
018655	002	AB	1	1
018657	001	AP	1	1
018659	001	AB	1	1
018659	002	AB	1	1
018667	001	AP	1	1
018671	001	AA	1	1
018671	002	AA	1	1
018679	001	AB	1	1
018681	001	AT	1	1
018692	001	AP	1	1
018701	001	AO	1	1
018701	002	AO	1	1
018703	001	AB	1	1
018703	002	AB	1	1
018704	001	AP	1	1
018705	002	AB	1	1
018716	001	AB	1	1
018716	002	AB	1	1
018716	003	AB	1	1
018723	001	AB	1	1
018723	002	AB	1	1
018723	003	AB	1	1
018735	002	AP	1	1
018735	003	AP	1	1
018741	001	AB	1	1
018748	001	AB	1	1
018760	001	AB	1	1
018760	002	AB	1	1
018800	001	AP	1	1
018801	001	AP	1	1
018802	001	AP	1	1
018803	001	AP	1	1
018810	001	AB	1	1
018817	001	AB	1	1
018817	002	AB	1	1
018817	003	AB	1	1
018823	001	AB	1	1
018823	002	AB	1	1
018826	001	AP	1	1
018826	002	AP	1	1
018826	003	AP	1	1
018827	001	AB	1	1
018828	001	AB	1	1
018832	002	AB	1	1
018841	004	AB	1	1
018849	001	AT	1	1
018851	001	AB	1	1
018851	002	AB	1	1
018858	001	AB	1	1
018861	001	AB	1	1
018865	001	AB	1	1
018866	001	AB	1	1
018877	001	AB	1	1
018878	001	AP	1	1
018883	001	AT	1	1
018883	002	AT	1	1
018883	003	AT	1	1
018883	004	AT	1	1
018883	005	AT	1	1
018883	006	AT	1	1
